,property_id,region,city,location,property_type,furnishing_state,lease_term,availability,rent,deposit,beds,baths,size,pets,smoking,parking
521,289216,ON,Toronto,30 Livonia Place,Apartment,Unfurnished,Long Term,Immediate,1790,"$1,790 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
512,289219,ON,Toronto,225 Markham Road,Apartment,Unfurnished,Long Term,Immediate,1670,"$1,670 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
49,289285,BC,Vancouver,1210 Cameron St.,Apartment,Unfurnished,Long Term,Immediate,1425,712.5,1 bd,1 ba,479 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
470,289512,ON,Mississauga,2121 Rathburn Road East,Apartment,Unfurnished,Long Term,Immediate,1800,"$1,800 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
704,289513,PE,Charlottetown,517-521 Malpeque Road,Apartment,Unfurnished,Long Term,Call for Availability,1000,"$1,000 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
170,289580,Blue Quill,Edmonton,437 Saddleback Rd.,Apartment,Unfurnished,Long Term,Immediate,907,$299 ,1 bd,1 ba,695 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
34,289694,BC,Victoria,1855 Fort Street,Apartment,Unfurnished,Long Term,Call for Availability,1205,"$1,205 ",studio,1 ba,,No pets,Smoking negotiable,Street
295,290063,Lower Townsite,Fort-Mcmurray,1 Centennial Drive,Apartment,Unfurnished,Long Term,Immediate,1090,"$1,090 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
263,290064,Lower Townsite,Fort-Mcmurray,9501 Manning Avenue,Apartment,Unfurnished,Long Term,Immediate,935,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
270,290066,Thickwood,Fort-Mcmurray,113 Stroud Bay,Apartment,Unfurnished,Long Term,Immediate,1010,$150 ,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
300,290069,Thickwood,Fort-Mcmurray,220 Timberline Drive,Apartment,Unfurnished,Long Term,Immediate,1211,$150 ,2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
275,290072,Thickwood,Fort-Mcmurray,115 Spruce Street,Apartment,Unfurnished,Long Term,Immediate,1010,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
299,290075,Thickwood,Fort-Mcmurray,125 Spruce Street,Apartment,Unfurnished,Long Term,Immediate,1010,$150 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
328,292367,Nutana,Saskatoon,606 Victoria Avenue,Apartment,Unfurnished,Long Term,Immediate,1275,"$1,275 ",1 bd,1 ba,690 ft2,Cats negotiable,Non-smoking,Underground
325,292818,Evergreen,Saskatoon,226 Akhtar Bend,Apartment,Unfurnished,Long Term,Immediate,1368,$700 ,2 bd,2 ba,937 ft2,Cats & dogs allowed,Non-smoking,Street
412,294016,Bridgwater Centre,Winnipeg,225 North Town Rd,Apartment,Unfurnished,Long Term,Immediate,1468,Half Monthly Rent,2 bd,1 ba,859 ft2,Cats & dogs allowed,Non-smoking,Street
354,294100,River Heights,Saskatoon,14 Assiniboine Drive,Apartment,Unfurnished,Long Term,Immediate,925,$350 ,1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
355,294111,Mount Royal,Saskatoon,135 Avenue W South,Apartment,Unfurnished,Long Term,Immediate,710,$350 ,1 bd,1 ba,605 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
352,294113,Greystone Heights,Saskatoon,2513 7 Street East,Apartment,Unfurnished,Long Term,Immediate,925,$350 ,1 bd,1 ba,600 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
353,294126,Pleasant Hill,Saskatoon,2014 20 Street W,Apartment,Unfurnished,Long Term,Immediate,699,$350 ,1 bd,1 ba,575 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
35,294145,BC,Victoria,625 Constance Avenue,Apartment,Unfurnished,Long Term,Call for Availability,1600,"$1,600 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
17,294153,BC,Victoria,3501 Savannah Avenue,Apartment,Unfurnished,Long Term,Call for Availability,1690,"$1,690 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
22,294155,BC,Victoria,443 Superior Street,Apartment,Unfurnished,Long Term,Call for Availability,1425,"$1,425 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
26,294156,BC,Victoria,200 Gorge Road West,Apartment,Unfurnished,Long Term,Call for Availability,1725,"$1,725 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
31,294157,BC,Victoria,535 Niagara Street,Apartment,Unfurnished,Long Term,Call for Availability,1425,"$1,425 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
24,294158,Harris Green,Victoria,1039 View Street,Apartment,Unfurnished,Long Term,Call for Availability,1525,"$1,525 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
27,294160,BC,Victoria,788-790 Dominion Road,Apartment,Unfurnished,Long Term,Call for Availability,1200,"$1,200 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
21,294161,Fairfield,Victoria,955 Humboldt Street,Apartment,Unfurnished,Long Term,Call for Availability,1495,"$1,495 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
685,294162,NS,Halifax,76 Armenia Drive,Apartment,Unfurnished,Long Term,Call for Availability,1795,"$1,795 ",2 bd + den,1 ba,,No pets,Smoking negotiable,Street
554,294165,ON,Ottawa,1749 Aspenview Way,Apartment,Unfurnished,Long Term,Immediate,2095,"$2,095 ",3 bd,1 ba,,No pets,Smoking negotiable,Street
592,294166,ON,Ottawa,1998 Beaconwood Drive,Apartment,Unfurnished,Long Term,Immediate,1985,"$1,985 ",3 bd,1 ba,,No pets,Smoking negotiable,Street
590,294167,ON,Ottawa,650 Woodcliffe Private,Apartment,Unfurnished,Long Term,Immediate,1850,"$1,850 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
541,294177,ON,Toronto,321 Chaplin Crescent,Apartment,Unfurnished,Long Term,Immediate,3250,"$3,250 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
534,294185,ON,Toronto,2020 Sheppard Ave West,Apartment,Unfurnished,Long Term,Immediate,1670,"$1,670 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
519,294188,ON,Toronto,215 Markham Road,Apartment,Unfurnished,Long Term,Immediate,1660,"$1,660 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
529,294189,ON,Toronto,370 McCowan Road,Apartment,Unfurnished,Long Term,Immediate,1595,"$1,595 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
699,294205,PE,Charlottetown,35 Belvedere Avenue,Apartment,Unfurnished,Long Term,Call for Availability,660,$660 ,1 bd,1 ba,,No pets,Smoking negotiable,Street
698,294206,PE,Charlottetown,"219, 221, 223 St. Peters Rd.",Apartment,Unfurnished,Long Term,Call for Availability,793,$793 ,2 bd,1 ba,,No pets,Smoking negotiable,Street
706,294207,PE,Charlottetown,129-131 Norwood Road,Apartment,Unfurnished,Long Term,Call for Availability,725,$725 ,2 bd,1 ba,,No pets,Smoking negotiable,Street
697,294208,PE,Charlottetown,2-46 River Ridge Drive,Apartment,Unfurnished,Long Term,Call for Availability,1416,"$1,416 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
164,294276,Callingwood,Edmonton,17119 64 Ave. NW,Apartment,Unfurnished,Long Term,Immediate,920,$299 ,1 bd,1 ba,636 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
167,294278,Callingwood,Edmonton,17311 69 Ave. NW,Apartment,Unfurnished,Long Term,Immediate,899,$299 ,1 bd,1 ba,733 ft2,Cats & dogs negotiable,Non-smoking,Covered
166,294279,Lynnwood,Edmonton,15503 87 Ave. NW,Apartment,Unfurnished,Long Term,Immediate,807,$299 ,1 bd,1 ba,734 ft2,Cats & dogs negotiable,Non-smoking,Covered
202,294286,Thorncliffe,Edmonton,8630 182 St. NW,Apartment,Unfurnished,Long Term,Immediate,1027,$299 ,2 bd,1 ba,884 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
417,294330,Dakota Crossing,Winnipeg,1153 St. Anne's Rd.,Apartment,Unfurnished,Long Term,Immediate,1178,Half Monthly Rent,1 bd,1 ba,647 ft2,Cats & dogs allowed,Non-smoking,Street
414,294456,Tuxedo Industrials,Winnipeg,586 Sterling Lyon,Apartment,Unfurnished,Long Term,Immediate,1398,Half Monthly Rent,2 bd,1 ba,859 ft2,Cats & dogs allowed,Non-smoking,Street
18,294835,Oaklands,Victoria,3820 Shelbourne Street,Apartment,Unfurnished,Long Term,Call for Availability,1555,"$1,555 ",1 bd + den,1 ba,,No pets,Smoking negotiable,Street
282,295161,Lower Townsite,Fort-Mcmurray,21 Macdonald Drive,Apartment,Unfurnished,Long Term,Immediate,1200,One Month's Rent,1 bd,1 ba,600 ft2,Cats & dogs negotiable,Non-smoking,Covered
335,295290,Fairhaven,Saskatoon,423 Pendygrasse Road,Apartment,Unfurnished,Long Term,Immediate,979,$750 ,1 bd,1 ba,730 - 760,Cats & dogs negotiable,Non-smoking,
696,295634,PE,Charlottetown,193 Westridge Crescent,Apartment,Unfurnished,Long Term,Immediate,676,$676 ,1 bd,1 ba,,No pets,Smoking negotiable,Street
28,296061,BC,Victoria,3244 Quadra Street,Apartment,Unfurnished,Long Term,Call for Availability,1395,"$1,395 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
30,296062,BC,Victoria,70-76 Dallas Road,Apartment,Unfurnished,Long Term,Call for Availability,1800,"$1,800 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
703,296182,PE,Charlottetown,20-22 Garfield Street,Apartment,Unfurnished,Long Term,Call for Availability,825,$825 ,1 bd,1 ba,,No pets,Smoking negotiable,Street
700,296183,PE,Charlottetown,315 Norwood Road,Apartment,Unfurnished,Long Term,Call for Availability,942,$942 ,2 bd,1 ba,,No pets,Smoking negotiable,Street
15,296453,Fairfield,Victoria,967 Collinson Street,Apartment,Unfurnished,Long Term,Call for Availability,1795,"$1,795 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
75,297475,West Point Grey,Vancouver,3550 West Broadway Street,Apartment,Unfurnished,Long Term,Immediate,2600,"$1,300 ",2 bd,1 ba,790 ft2,Cats & dogs negotiable,Non-smoking,Underground
33,297781,Hillside - Quadra,Victoria,1140 Hillside Avenue,Apartment,Unfurnished,Long Term,Call for Availability,1455,"$1,455 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
29,297782,Fairfield,Victoria,976 Humboldt Street,Apartment,Unfurnished,Long Term,Call for Availability,1550,"$1,550 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
695,297836,PE,Charlottetown,5 Rockcliffe Avenue,Apartment,Unfurnished,Long Term,Immediate,875,$875 ,1 bd,1 ba,,No pets,Smoking negotiable,Street
705,297837,PE,Charlottetown,514 Malpeque Road,Apartment,Unfurnished,Long Term,Call for Availability,970,$970 ,2 bd,1 ba,,No pets,Smoking negotiable,Street
701,297838,PE,Charlottetown,18-24 Waterview Heights,Apartment,Unfurnished,Long Term,Call for Availability,1016,"$1,016 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
258,297852,Forth,Red-Deer,3110 47 Avenue,Townhouse,Unfurnished,Long Term,Immediate,1170,$395 ,3 bd,1.5 ba,1102 ft2,No pets,Non-smoking,Outdoor
160,298139,Beltline,Calgary,508 - 1501 6 Street SW,Condo,Unfurnished,Negotiable,Immediate,1200,"$1,200 ",1 bd,1 ba,553 ft2,Cats negotiable,Non-smoking,
219,300037,Michener Hill,Red-Deer,6 - 4021 50A Street,Apartment,Unfurnished,Negotiable,Immediate,890,$890 ,1 bd,1 ba,700 ft2,No pets,Non-smoking,
231,300069,Vanier Woods,Red-Deer,39 Van Slyke Way,Apartment,Unfurnished,Long Term,Immediate,1129,"$1,129 ",1 bd,1 ba,588 ft2,Cats & dogs negotiable,Non-smoking,
694,300157,PE,Charlottetown,20 Maypoint Road,Apartment,Unfurnished,Long Term,Immediate,800,$800 ,2 bd,1 ba,,No pets,Smoking negotiable,Street
371,301339,Fairways West,Regina,1060 Dorothy St.,Townhouse,Unfurnished,Long Term,Immediate,1039,$299 ,2 bd,1 ba,877 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
370,301340,Gladmer Park,Regina,700 Gladmer Pk.,Townhouse,Unfurnished,Long Term,Immediate,1175,$299 ,2 bd,1 ba,864 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
363,301342,Hillsdale,Regina,22-41 Munroe Pl.,Apartment,Unfurnished,Long Term,Immediate,1003,$299 ,2 bd,1 ba,860 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
310,301351,Central Business District,Saskatoon,325 5TH Ave. N,Apartment,Unfurnished,Long Term,Immediate,1380,$299 ,2 bd,1 ba,1128 ft2,No pets,Non-smoking,Covered
212,301352,South Hill,Red-Deer,3710 52 Ave.,Apartment,Unfurnished,Long Term,Immediate,1020,$299 ,2 bd,1 ba,721 ft2,Cats negotiable,Non-smoking,Covered
217,301356,Oriole Park,Red-Deer,6209 60 St.,Apartment,Unfurnished,Long Term,Immediate,882,$299 ,1 bd,1 ba,594 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
368,301359,Albert Park,Regina,4040 Gordon Rd.,Apartment,Unfurnished,Long Term,Immediate,1179,$299 ,1 bd,1 ba,675 ft2,Cats negotiable,Non-smoking,Outdoor
216,301364,West Park,Red-Deer,561-3535 55 Ave.,Townhouse,Unfurnished,Long Term,Immediate,1154,$299 ,2 bd,1 ba,864 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
261,301370,Abasand,Fort-Mcmurray,119 Charles Ave.,Apartment,Unfurnished,Long Term,Immediate,1188,$299 ,1 bd,1 ba,650 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
267,301379,Lower Townsite,Fort-Mcmurray,92 Biggs Ave.,Apartment,Unfurnished,Long Term,Immediate,1398,$299 ,2 bd,1 ba,850 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
266,301380,Lower Townsite,Fort-Mcmurray,82 Biggs Ave.,Apartment,Unfurnished,Long Term,Immediate,1236,$299 ,2 bd,1 ba,850 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
215,301386,Highland Green,Red-Deer,5925 63 St.,Apartment,Unfurnished,Long Term,Immediate,995,$299 ,2 bd,1 ba,875 ft2,Cats negotiable,Non-smoking,Underground
214,301396,Pines,Red-Deer,104-7108 Parke Ave.,Apartment,Unfurnished,Long Term,Immediate,1074,$299 ,2 bd,1 ba,988 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
365,301421,Fairways West,Regina,1062 Dorothy St.,Apartment,Unfurnished,Long Term,Immediate,1309,$299 ,2 bd,2 ba,915 ft2,Cats & dogs negotiable,Non-smoking,Underground
372,301436,Hillsdale,Regina,41 Munroe Place,Townhouse,Unfurnished,Long Term,Immediate,1295,$299 ,2 bd,1 ba,850 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
264,301454,Abasand,Fort-Mcmurray,112 Charles Ave.,Apartment,Unfurnished,Long Term,Immediate,1207,$299 ,2 bd,1 ba,750 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
369,301456,Albert Park,Regina,193 Lockwood Rd.,Apartment,Unfurnished,Long Term,Immediate,1019,$299 ,1 bd,1 ba,705 ft2,Cats negotiable,Non-smoking,Outdoor
260,301458,Thickwood,Fort-Mcmurray,270 Tundra Dr.,Apartment,Unfurnished,Long Term,Immediate,1316,$299 ,2 bd,1 ba,820 ft2,Cats & dogs negotiable,Non-smoking,Outdoor
290,302893,Timberlea,Fort-Mcmurray,200 Lougheed Drive,Apartment,Unfurnished,Long Term,Immediate,1300,"$1,300 ",2 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
230,302926,Clearview Meadows,Red-Deer,"A, 14 Cardinal Ave",Apartment,Unfurnished,Long Term,Immediate,895,$895 ,2 bd,1 ba,,No pets,Non-smoking,Outdoor
661,303850,NS,Halifax,41 Cowie Hill Road,Apartment,Unfurnished,Long Term,Immediate,1450,Other,2 bd,1 ba,800 ft2,Cats & dogs allowed,Non-smoking,Outdoor
659,303864,NS,Halifax,680 Parkland Drive,Apartment,Unfurnished,Long Term,Immediate,1575,Other,2 bd,2 ba,1163 ft2,Cats & dogs allowed,Non-smoking,Underground
658,303870,NS,Halifax,680 Parkland Drive,Apartment,Unfurnished,Long Term,Immediate,1575,Other,2 bd,2 ba,1165 ft2,Cats & dogs allowed,Non-smoking,Underground
434,303899,Broadway - Assiniboine,Winnipeg,33 Hargrave Street,Apartment,Unfurnished,Long Term,Immediate,1450,Other,1 bd,1 ba,1000 ft2,Cats & dogs allowed,Non-smoking,Outdoor
557,303928,Byward Market,Ottawa,135 York Street,Apartment,Unfurnished,Long Term,Immediate,1494,Other,1 bd,1 ba,429 ft2,Cats & dogs allowed,Non-smoking,Outdoor
431,303980,South Portage,Winnipeg,160 Smith Street,Apartment,Furnished,Long Term,Immediate,1743,Other,1 bd,1 ba,659 ft2,Cats & dogs allowed,Non-smoking,Outdoor
429,303996,Broadway - Assiniboine,Winnipeg,33 Hargrave Street,Apartment,Unfurnished,Long Term,Immediate,939,Other,1 bd,1 ba,557 ft2,Cats & dogs allowed,Non-smoking,Outdoor
657,303998,NS,Halifax,16 Bently Drive,Apartment,Unfurnished,Long Term,Immediate,1655,Other,2 bd,2 ba,1179 ft2,Cats & dogs allowed,Non-smoking,Underground
663,304000,NS,Halifax,15 Bently Drive,Apartment,Unfurnished,Long Term,Immediate,1655,Other,2 bd,2 ba,1272 ft2,Cats & dogs allowed,Non-smoking,Underground
408,304025,Broadway - Assiniboine,Winnipeg,70 Garry,Apartment,Unfurnished,Long Term,Immediate,1019,Other,1 bd,1 ba,584 ft2,Cats & dogs allowed,Non-smoking,Outdoor
624,304475,QC,Montreal,101 Place Charles-LeMoyne,Apartment,Unfurnished,Long Term,Immediate,1115,Other,1 bd,1 ba,602 ft2,Cats & dogs allowed,Non-smoking,Covered
613,304487,QC,Montreal,3475 rue de la Montagne,Apartment,Unfurnished,Long Term,Immediate,1410,Other,1 bd,1 ba,581 ft2,Cats & dogs allowed,Non-smoking,Outdoor
316,304584,Lakewood S.C.,Saskatoon,310 Herold Rd,Apartment,Unfurnished,Long Term,Immediate,1119,$750 ,1 bd,1 ba,740 ft2,Cats & dogs negotiable,Non-smoking,Street
138,304641,Beltline,Calgary,1606 - 1501 6 Street SW,Condo,Unfurnished,Long Term,Immediate,1450,"$1,395 ",1 bd,1 ba,500 ft2,Cats & dogs negotiable,Smoking negotiable,
36,304731,Victoria West,Victoria,801 Esquimalt Road,Apartment,Unfurnished,Long Term,Call for Availability,1350,"$1,350 ",1 bd,1 ba,,No pets,Smoking negotiable,Street
25,305824,Harris Green,Victoria,1110 Queens Avenue,Apartment,Unfurnished,Long Term,Call for Availability,1650,"$1,650 ",2 bd,1 ba,,No pets,Smoking negotiable,Street
581,309224,Braemar Park - Bel Air Heights - Copeland Park,Ottawa,10 Deerfield Drive,Apartment,Unfurnished,Long Term,Immediate,1689,"$1,689 ",3 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
580,309225,Parkwood Hills - Fisher glen,Ottawa,30 Eleanor Drive,Apartment,Unfurnished,Long Term,Immediate,1429,"$1,429 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Outdoor
551,309227,Centretown,Ottawa,21 James Street,Apartment,Unfurnished,Long Term,Immediate,1759,"$1,759 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Underground
455,309230,ON,Mississauga,2700 Aquitaine Avenue,House,Unfurnished,Long Term,Immediate,2099,"$2,099 ",1 bd,1 ba,,Cats & dogs negotiable,Non-smoking,Covered
